date,position_count,gross_market_value,net_market_value,gross_exposure,net_exposure,cash_proxy,turnover,turnover_rate,missing_price_count,forward_filled_price_count,fill_price_fallback_count
2025-09-05 00:00:00,1,497664.00000000006,497664.00000000006,0.4436681611856747,0.4436681611856747,624039.2086999998,469270.0,0.4183548699516171,1,0,1
2025-09-08 00:00:00,1,496752.0,496752.0,0.4424649530388541,0.4424649530388541,625940.3094999997,989664.0,0.8815095566484774,1,0,1
2025-09-09 00:00:00,2,995800.0,995800.0,0.9171923969873969,0.9171923969873969,89904.5950999998,499048.0,0.4596535763524467,2,0,2
2025-09-10 00:00:00,1,496752.0,496752.0,0.4409225318339885,0.4409225318339885,629867.6760999998,469730.0,0.41693750780747624,1,0,1
2025-09-11 00:00:00,1,499716.00000000006,499716.00000000006,0.44258991718794377,0.44258991718794377,629356.2643999998,1028039.0,0.9105165651609644,1,0,1
2025-09-12 00:00:00,2,976941.0,976941.0,0.8425587031194339,0.8425587031194339,182552.09689999977,477225.0,0.411580716845922,2,0,2
2025-09-15 00:00:00,1,499716.00000000006,499716.00000000006,0.44292906281939676,0.44292906281939676,628491.7468999997,454500.0,0.402851337662624,1,0,1
2025-09-16 00:00:00,1,498408.0,498408.0,0.4458712057035298,0.4458712057035298,619421.5292999996,1027392.0,0.9190954193555498,1,0,1
2025-09-17 00:00:00,2,983058.0,983058.0,0.870360937801212,0.870360937801212,146425.13429999957,484650.0,0.4290900725138877,2,0,2
2025-09-18 00:00:00,2,983058.0,983058.0,0.885491744224564,0.885491744224564,127125.13429999957,0.0,0.0,2,0,2
2025-09-19 00:00:00,1,484650.0,484650.0,0.4407417634170388,0.4407417634170388,614973.4988999995,462118.0,0.42025111364232975,1,0,1
2025-09-22 00:00:00,1,479136.0,479136.0,0.4349532002930237,0.4349532002930237,622444.5830999997,976386.0,0.886350045543028,1,0,1
2025-09-23 00:00:00,1,498405.00000000006,498405.00000000006,0.4616072529250499,0.4616072529250499,581311.5703999996,956709.0,0.8860742033861448,1,0,1
