vt_symbol,direction,offset,price,volume,datetime
300502.SZSE,Long,Open,490.21,200,2026-03-25 00:00:00
001309.SZSE,Short,Close,361.02,300,2026-03-26 00:00:00
300308.SZSE,Long,Open,598.85,100,2026-03-27 00:00:00
301396.SZSE,Short,Close,156.8,600,2026-03-30 00:00:00
688195.SSE,Long,Open,274.9,300,2026-03-31 00:00:00
300308.SZSE,Short,Close,591.0,100,2026-04-01 00:00:00
300502.SZSE,Short,Close,461.53,200,2026-04-01 00:00:00
601869.SSE,Long,Open,304.9,300,2026-04-02 00:00:00
688167.SSE,Long,Open,395.0,200,2026-04-03 00:00:00
601869.SSE,Short,Close,351.5,300,2026-04-07 00:00:00
688195.SSE,Short,Close,332.0,300,2026-04-07 00:00:00
601869.SSE,Long,Open,362.2,200,2026-04-08 00:00:00
688506.SSE,Long,Open,315.0,300,2026-04-08 00:00:00
601869.SSE,Short,Close,392.0,200,2026-04-10 00:00:00
601869.SSE,Long,Open,372.0,200,2026-04-13 00:00:00
688167.SSE,Short,Close,382.28,200,2026-04-13 00:00:00
300308.SZSE,Long,Open,750.0,100,2026-04-14 00:00:00
601869.SSE,Short,Close,360.12,200,2026-04-15 00:00:00
688506.SSE,Short,Close,305.35,300,2026-04-15 00:00:00
300308.SZSE,Short,Close,849.0,100,2026-04-20 00:00:00
300308.SZSE,Long,Open,849.75,100,2026-04-21 00:00:00
920045.BSE,Long,Open,577.0,100,2026-04-24 00:00:00
688502.SSE,Long,Open,459.98,200,2026-04-27 00:00:00
920045.BSE,Short,Close,549.97,100,2026-04-27 00:00:00
300308.SZSE,Short,Close,854.0,100,2026-04-28 00:00:00
920045.BSE,Long,Open,553.0,100,2026-04-28 00:00:00
688048.SSE,Long,Open,352.06,200,2026-04-29 00:00:00
688502.SSE,Short,Close,520.0,200,2026-05-07 00:00:00
688795.SSE,Long,Open,727.96,100,2026-05-08 00:00:00
920045.BSE,Short,Close,591.0,100,2026-05-08 00:00:00
301666.SZSE,Long,Open,533.1,100,2026-05-11 00:00:00
688048.SSE,Short,Close,438.89,200,2026-05-11 00:00:00
688795.SSE,Short,Close,713.97,100,2026-05-11 00:00:00
301666.SZSE,Short,Close,625.0,100,2026-05-14 00:00:00
301666.SZSE,Long,Open,628.0,100,2026-05-15 00:00:00
301308.SZSE,Long,Open,586.0,100,2026-05-18 00:00:00
301666.SZSE,Short,Close,816.0,100,2026-05-19 00:00:00
001309.SZSE,Long,Open,705.0,100,2026-05-20 00:00:00
001309.SZSE,Short,Close,671.0,100,2026-05-22 00:00:00
300308.SZSE,Long,Open,1010.04,100,2026-05-22 00:00:00
301308.SZSE,Short,Close,551.0,100,2026-05-22 00:00:00
301666.SZSE,Long,Open,850.0,100,2026-05-25 00:00:00
688012.SSE,Long,Open,453.36,200,2026-05-25 00:00:00
300308.SZSE,Short,Close,1079.0,100,2026-05-26 00:00:00
301666.SZSE,Short,Close,790.0,100,2026-05-26 00:00:00
301666.SZSE,Long,Open,750.0,100,2026-05-27 00:00:00
688072.SSE,Long,Open,742.5,100,2026-05-27 00:00:00
688072.SSE,Short,Close,664.97,100,2026-05-28 00:00:00
688072.SSE,Long,Open,669.45,100,2026-05-29 00:00:00
688012.SSE,Short,Close,290.0,200,2026-06-01 00:00:00
688072.SSE,Short,Close,611.0,100,2026-06-01 00:00:00
300502.SZSE,Long,Open,696.0,100,2026-06-02 00:00:00
688072.SSE,Long,Open,585.0,100,2026-06-02 00:00:00
301666.SZSE,Short,Close,746.0,100,2026-06-03 00:00:00
300394.SZSE,Long,Open,478.91,200,2026-06-04 00:00:00
300502.SZSE,Short,Close,773.46,100,2026-06-04 00:00:00
300502.SZSE,Long,Open,790.0,100,2026-06-05 00:00:00
300394.SZSE,Short,Close,439.0,200,2026-06-08 00:00:00
300502.SZSE,Short,Close,748.89,100,2026-06-09 00:00:00
688072.SSE,Short,Close,582.05,100,2026-06-09 00:00:00
688630.SSE,Long,Open,392.0,200,2026-06-10 00:00:00
688668.SSE,Long,Open,413.0,200,2026-06-11 00:00:00
688146.SSE,Long,Open,326.0,300,2026-06-16 00:00:00
688630.SSE,Short,Close,459.08,200,2026-06-17 00:00:00
301377.SZSE,Long,Open,570.1,100,2026-06-18 00:00:00
688668.SSE,Short,Close,398.0,200,2026-06-18 00:00:00
300666.SZSE,Long,Open,323.0,300,2026-06-22 00:00:00
688146.SSE,Short,Close,368.0,300,2026-06-22 00:00:00
301377.SZSE,Short,Close,644.8,100,2026-06-23 00:00:00
688766.SSE,Long,Open,650.0,100,2026-06-23 00:00:00
300666.SZSE,Short,Close,291.72,300,2026-06-24 00:00:00
301377.SZSE,Long,Open,580.83,100,2026-06-24 00:00:00
688766.SSE,Short,Close,764.44,100,2026-06-25 00:00:00
920045.BSE,Long,Open,674.98,100,2026-06-25 00:00:00
688766.SSE,Long,Open,727.0,100,2026-06-26 00:00:00
920045.BSE,Short,Close,630.0,100,2026-06-26 00:00:00
301377.SZSE,Short,Close,557.16,100,2026-06-30 00:00:00
001309.SZSE,Long,Open,945.0,100,2026-07-01 00:00:00
603986.SSE,Long,Open,803.0,100,2026-07-01 00:00:00
001309.SZSE,Short,Close,829.54,100,2026-07-02 00:00:00
603986.SSE,Short,Close,721.0,100,2026-07-02 00:00:00
688766.SSE,Short,Close,783.0,100,2026-07-02 00:00:00
001309.SZSE,Long,Open,804.75,100,2026-07-03 00:00:00
002371.SZSE,Long,Open,799.01,100,2026-07-03 00:00:00
603986.SSE,Long,Open,672.54,100,2026-07-03 00:00:00
001309.SZSE,Short,Close,870.0,100,2026-07-07 00:00:00
603986.SSE,Short,Close,625.0,100,2026-07-07 00:00:00
603061.SSE,Long,Open,448.0,200,2026-07-08 00:00:00
688017.SSE,Long,Open,446.99,200,2026-07-08 00:00:00
688017.SSE,Short,Close,395.62,200,2026-07-09 00:00:00
002371.SZSE,Short,Close,886.46,100,2026-07-10 00:00:00
920699.BSE,Long,Open,101.0,700,2026-07-10 00:00:00
688802.SSE,Long,Open,901.1,100,2026-07-13 00:00:00
920699.BSE,Short,Close,90.0,700,2026-07-13 00:00:00
603061.SSE,Short,Close,408.0,200,2026-07-14 00:00:00
688072.SSE,Long,Open,805.0,100,2026-07-14 00:00:00
688347.SSE,Long,Open,352.59,200,2026-07-15 00:00:00
688072.SSE,Short,Close,735.02,100,2026-07-16 00:00:00
688347.SSE,Short,Close,322.4,200,2026-07-16 00:00:00
688072.SSE,Long,Open,718.42,100,2026-07-17 00:00:00
688347.SSE,Long,Open,321.9,300,2026-07-17 00:00:00
688347.SSE,Short,Close,321.0,300,2026-07-20 00:00:00
688802.SSE,Short,Close,818.04,100,2026-07-20 00:00:00
688072.SSE,Short,Close,657.0,100,2026-07-21 00:00:00
688802.SSE,Long,Open,821.0,100,2026-07-21 00:00:00
600436.SSE,Long,Open,142.7,600,2026-07-22 00:00:00
688192.SSE,Long,Open,60.1,1600,2026-07-22 00:00:00
600436.SSE,Short,Close,135.19,600,2026-07-24 00:00:00
688192.SSE,Short,Close,57.02,1600,2026-07-24 00:00:00
002432.SZSE,Long,Open,67.37,1400,2026-07-27 00:00:00
600436.SSE,Long,Open,130.15,700,2026-07-27 00:00:00
688802.SSE,Short,Close,799.93,100,2026-07-28 00:00:00
688702.SSE,Long,Open,363.0,200,2026-07-29 00:00:00
002432.SZSE,Short,Close,65.55,1400,2026-07-31 00:00:00
688702.SSE,Short,Close,336.0,200,2026-07-31 00:00:00
301583.SZSE,Long,Open,148.97,600,2026-08-03 00:00:00
600436.SSE,Short,Close,138.38,700,2026-08-03 00:00:00
688146.SSE,Long,Open,258.6,300,2026-08-03 00:00:00
301234.SZSE,Long,Open,65.38,1500,2026-08-04 00:00:00
688146.SSE,Short,Close,250.0,300,2026-08-04 00:00:00
