vt_symbol,direction,offset,price,volume,datetime,reason
000818.SZSE,Long,Open,14.54,22300,2026-04-13 00:00:00,
301137.SZSE,Short,Close,43.3,8000,2026-04-13 00:00:00,
300720.SZSE,Long,Open,52.8,6200,2026-04-14 00:00:00,
000004.SZSE,Short,Close,3.64,103700,2026-04-16 00:00:00,
000818.SZSE,Short,Close,14.41,22300,2026-04-16 00:00:00,
002575.SZSE,Long,Open,6.74,48100,2026-04-17 00:00:00,
300720.SZSE,Short,Close,60.8,6200,2026-04-17 00:00:00,
600696.SSE,Long,Open,0.98,320300,2026-04-17 00:00:00,
002575.SZSE,Short,Close,6.51,48100,2026-04-20 00:00:00,
600636.SSE,Long,Open,5.79,54100,2026-04-20 00:00:00,
600421.SSE,Long,Open,5.23,62300,2026-04-21 00:00:00,
600636.SSE,Short,Close,5.69,54100,2026-04-21 00:00:00,
600696.SSE,Short,Close,1.17,320300,2026-04-22 00:00:00,
603360.SSE,Long,Open,23.89,13800,2026-04-22 00:00:00,
001207.SZSE,Long,Open,18.0,18300,2026-04-23 00:00:00,
600421.SSE,Short,Close,4.76,62300,2026-04-24 00:00:00,
603169.SSE,Long,Open,8.16,40000,2026-04-27 00:00:00,
603360.SSE,Short,Close,23.17,13800,2026-04-27 00:00:00,
001207.SZSE,Short,Close,18.0,18300,2026-04-28 00:00:00,
300695.SZSE,Long,Open,60.92,5300,2026-04-28 00:00:00,
001331.SZSE,Long,Open,44.0,7300,2026-04-29 00:00:00,
603169.SSE,Short,Close,8.34,40000,2026-04-30 00:00:00,
300695.SZSE,Short,Close,60.85,5300,2026-05-06 00:00:00,
603313.SSE,Long,Open,6.47,51400,2026-05-06 00:00:00,
001331.SZSE,Short,Close,46.44,7300,2026-05-07 00:00:00,
688709.SSE,Long,Open,38.86,8500,2026-05-07 00:00:00,
300663.SZSE,Long,Open,9.94,32800,2026-05-08 00:00:00,
603313.SSE,Short,Close,6.15,51400,2026-05-08 00:00:00,
603619.SSE,Long,Open,29.51,11300,2026-05-11 00:00:00,
688709.SSE,Short,Close,40.02,8500,2026-05-12 00:00:00,
002294.SZSE,Long,Open,38.8,8500,2026-05-13 00:00:00,
300663.SZSE,Short,Close,9.73,32800,2026-05-13 00:00:00,
002840.SZSE,Long,Open,10.23,32400,2026-05-14 00:00:00,
603619.SSE,Short,Close,28.85,11300,2026-05-14 00:00:00,
002294.SZSE,Short,Close,36.24,8500,2026-05-15 00:00:00,
002840.SZSE,Short,Close,11.2,32400,2026-05-15 00:00:00,
300882.SZSE,Long,Open,18.55,17700,2026-05-15 00:00:00,
002294.SZSE,Long,Open,35.15,9300,2026-05-18 00:00:00,
301349.SZSE,Long,Open,46.61,6900,2026-05-18 00:00:00,
300882.SZSE,Short,Close,19.13,17700,2026-05-20 00:00:00,
301349.SZSE,Short,Close,51.4,6900,2026-05-21 00:00:00,
603379.SSE,Long,Open,56.14,5800,2026-05-21 00:00:00,
002294.SZSE,Short,Close,36.01,9300,2026-05-21 00:00:00,
002987.SZSE,Long,Open,12.61,26200,2026-05-22 00:00:00,
600539.SSE,Long,Open,13.71,24400,2026-05-22 00:00:00,
600539.SSE,Short,Close,15.6,24400,2026-05-26 00:00:00,
603379.SSE,Short,Close,60.01,5800,2026-05-26 00:00:00,
000676.SZSE,Long,Open,6.12,54000,2026-05-27 00:00:00,
002987.SZSE,Short,Close,12.46,26200,2026-05-27 00:00:00,
300411.SZSE,Long,Open,8.28,39400,2026-05-27 00:00:00,
000676.SZSE,Short,Close,5.83,54000,2026-05-28 00:00:00,
002759.SZSE,Long,Open,30.24,10900,2026-05-28 00:00:00,
002535.SZSE,Long,Open,2.49,134600,2026-05-29 00:00:00,
300411.SZSE,Short,Close,8.02,39400,2026-06-01 00:00:00,
002759.SZSE,Short,Close,27.73,10900,2026-06-01 00:00:00,
688636.SSE,Long,Open,36.07,9100,2026-06-02 00:00:00,
002792.SZSE,Long,Open,39.2,8400,2026-06-02 00:00:00,
002535.SZSE,Short,Close,2.76,134600,2026-06-02 00:00:00,
605255.SSE,Long,Open,84.08,3900,2026-06-03 00:00:00,
002792.SZSE,Short,Close,41.0,8400,2026-06-05 00:00:00,
688636.SSE,Short,Close,35.28,9100,2026-06-05 00:00:00,
000736.SZSE,Long,Open,4.56,69600,2026-06-08 00:00:00,
000820.SZSE,Long,Open,3.27,95900,2026-06-08 00:00:00,
605255.SSE,Short,Close,76.0,3900,2026-06-08 00:00:00,
000736.SZSE,Short,Close,4.56,69600,2026-06-09 00:00:00,
000820.SZSE,Short,Close,3.29,95900,2026-06-09 00:00:00,
002969.SZSE,Long,Open,14.92,21800,2026-06-09 00:00:00,
301165.SZSE,Long,Open,58.0,5500,2026-06-10 00:00:00,
688710.SSE,Long,Open,52.81,6200,2026-06-10 00:00:00,
301165.SZSE,Short,Close,57.83,5500,2026-06-12 00:00:00,
002969.SZSE,Short,Close,15.15,21800,2026-06-12 00:00:00,
002174.SZSE,Long,Open,10.22,32700,2026-06-15 00:00:00,
603567.SSE,Long,Open,5.94,55000,2026-06-15 00:00:00,
688710.SSE,Short,Close,53.17,6200,2026-06-15 00:00:00,
002174.SZSE,Short,Close,11.03,32700,2026-06-16 00:00:00,
600536.SSE,Long,Open,30.0,10900,2026-06-16 00:00:00,
003001.SZSE,Long,Open,15.22,21600,2026-06-17 00:00:00,
600536.SSE,Short,Close,28.58,10900,2026-06-17 00:00:00,
603567.SSE,Short,Close,5.43,55000,2026-06-17 00:00:00,
002128.SZSE,Long,Open,24.23,13500,2026-06-18 00:00:00,
002830.SZSE,Long,Open,14.65,22400,2026-06-18 00:00:00,
003001.SZSE,Short,Close,14.3,21600,2026-06-18 00:00:00,
001211.SZSE,Long,Open,32.2,10200,2026-06-22 00:00:00,
001211.SZSE,Short,Close,30.57,10200,2026-06-23 00:00:00,
002128.SZSE,Short,Close,24.64,13500,2026-06-24 00:00:00,
002830.SZSE,Short,Close,17.52,22400,2026-06-24 00:00:00,
603682.SSE,Long,Open,7.54,43600,2026-06-24 00:00:00,
600540.SSE,Long,Open,3.6,93200,2026-06-25 00:00:00,
600598.SSE,Long,Open,10.56,29400,2026-06-25 00:00:00,
600598.SSE,Short,Close,10.62,29400,2026-06-26 00:00:00,
002853.SZSE,Long,Open,20.2,16500,2026-06-29 00:00:00,
600540.SSE,Short,Close,3.3,93200,2026-06-29 00:00:00,
603682.SSE,Short,Close,7.48,43600,2026-06-29 00:00:00,
601799.SSE,Long,Open,90.5,3600,2026-06-30 00:00:00,
603296.SSE,Long,Open,69.06,4800,2026-06-30 00:00:00,
002853.SZSE,Short,Close,20.04,16500,2026-07-02 00:00:00,
603303.SSE,Long,Open,22.51,14600,2026-07-03 00:00:00,
601799.SSE,Short,Close,98.5,3600,2026-07-03 00:00:00,
603296.SSE,Short,Close,68.01,4800,2026-07-03 00:00:00,
600396.SSE,Long,Open,13.21,25000,2026-07-06 00:00:00,
600791.SSE,Long,Open,8.28,40600,2026-07-06 00:00:00,
600396.SSE,Short,Close,12.5,25000,2026-07-07 00:00:00,
603303.SSE,Short,Close,26.2,14600,2026-07-07 00:00:00,
002575.SZSE,Long,Open,4.64,71100,2026-07-08 00:00:00,
603778.SSE,Long,Open,10.41,30100,2026-07-08 00:00:00,
600791.SSE,Short,Close,7.65,40600,2026-07-09 00:00:00,
002782.SZSE,Long,Open,17.72,18500,2026-07-10 00:00:00,
603778.SSE,Short,Close,11.1,30100,2026-07-13 00:00:00,
002575.SZSE,Short,Close,4.86,71100,2026-07-13 00:00:00,
603269.SSE,Long,Open,15.1,21700,2026-07-14 00:00:00,
002903.SZSE,Long,Open,29.76,10900,2026-07-14 00:00:00,
002782.SZSE,Short,Close,16.0,18500,2026-07-14 00:00:00,
600226.SSE,Long,Open,7.73,42900,2026-07-15 00:00:00,
600226.SSE,Short,Close,7.25,42900,2026-07-16 00:00:00,
002903.SZSE,Short,Close,27.8,10900,2026-07-17 00:00:00,
600955.SSE,Long,Open,12.64,26200,2026-07-17 00:00:00,
603269.SSE,Short,Close,14.12,21700,2026-07-17 00:00:00,
002531.SZSE,Long,Open,6.14,53700,2026-07-20 00:00:00,
603929.SSE,Long,Open,177.0,1900,2026-07-20 00:00:00,
600955.SSE,Short,Close,11.86,26200,2026-07-21 00:00:00,
603929.SSE,Short,Close,158.84,1900,2026-07-21 00:00:00,
603015.SSE,Long,Open,9.17,35900,2026-07-22 00:00:00,
603082.SSE,Long,Open,30.33,10600,2026-07-22 00:00:00,
002531.SZSE,Short,Close,6.03,53700,2026-07-23 00:00:00,
920305.BSE,Long,Open,1.25,202400,2026-07-24 00:00:00,
603015.SSE,Short,Close,9.02,35900,2026-07-27 00:00:00,
