vt_symbol,entry_datetime,exit_datetime,entry_price,exit_price,volume,holding_calendar_days,holding_trading_days,gross_return,gross_pnl,reason,status
600540.SSE,2026-06-25 00:00:00,2026-06-29 00:00:00,3.6,3.3,93200.0,4.0,2.0,-0.08333333333333337,-27960.000000000025,,closed
603682.SSE,2026-06-24 00:00:00,2026-06-29 00:00:00,7.54,7.48,43600.0,5.0,3.0,-0.007957559681697535,-2615.999999999983,,closed
002853.SZSE,2026-06-29 00:00:00,2026-07-02 00:00:00,20.2,20.04,16500.0,3.0,3.0,-0.007920792079207928,-2640.0000000000023,,closed
601799.SSE,2026-06-30 00:00:00,2026-07-03 00:00:00,90.5,98.5,3600.0,3.0,3.0,0.08839779005524862,28800.0,,closed
603296.SSE,2026-06-30 00:00:00,2026-07-03 00:00:00,69.06,68.01,4800.0,3.0,3.0,-0.015204170286707175,-5039.999999999986,,closed
600396.SSE,2026-07-06 00:00:00,2026-07-07 00:00:00,13.21,12.5,25000.0,1.0,1.0,-0.05374716124148382,-17750.000000000022,,closed
603303.SSE,2026-07-03 00:00:00,2026-07-07 00:00:00,22.51,26.2,14600.0,4.0,2.0,0.16392714349178128,53873.99999999996,,closed
600791.SSE,2026-07-06 00:00:00,2026-07-09 00:00:00,8.28,7.65,40600.0,3.0,3.0,-0.07608695652173902,-25577.99999999996,,closed
603778.SSE,2026-07-08 00:00:00,2026-07-13 00:00:00,10.41,11.1,30100.0,5.0,3.0,0.06628242074927959,20768.999999999985,,closed
002575.SZSE,2026-07-08 00:00:00,2026-07-13 00:00:00,4.64,4.86,71100.0,5.0,3.0,0.0474137931034484,15642.000000000045,,closed
002782.SZSE,2026-07-10 00:00:00,2026-07-14 00:00:00,17.72,16.0,18500.0,4.0,2.0,-0.09706546275395023,-31819.999999999978,,closed
600226.SSE,2026-07-15 00:00:00,2026-07-16 00:00:00,7.73,7.25,42900.0,1.0,1.0,-0.0620957309184994,-20592.00000000002,,closed
002903.SZSE,2026-07-14 00:00:00,2026-07-17 00:00:00,29.76,27.8,10900.0,3.0,3.0,-0.0658602150537635,-21364.00000000001,,closed
603269.SSE,2026-07-14 00:00:00,2026-07-17 00:00:00,15.1,14.12,21700.0,3.0,3.0,-0.0649006622516557,-21266.00000000001,,closed
600955.SSE,2026-07-17 00:00:00,2026-07-21 00:00:00,12.64,11.86,26200.0,4.0,2.0,-0.06170886075949378,-20436.00000000003,,closed
603929.SSE,2026-07-20 00:00:00,2026-07-21 00:00:00,177.0,158.84,1900.0,1.0,1.0,-0.10259887005649715,-34503.99999999999,,closed
002531.SZSE,2026-07-20 00:00:00,2026-07-23 00:00:00,6.14,6.03,53700.0,3.0,3.0,-0.01791530944625397,-5906.999999999969,,closed
603015.SSE,2026-07-22 00:00:00,2026-07-27 00:00:00,9.17,9.02,35900.0,5.0,3.0,-0.016357688113413316,-5385.000000000013,,closed
603082.SSE,2026-07-22 00:00:00,2026-07-27 00:00:00,30.33,33.28,10600.0,5.0,3.0,0.09726343554236738,31270.00000000003,,closed
001399.SZSE,2026-07-28 00:00:00,2026-07-29 00:00:00,25.72,24.52,12500.0,1.0,1.0,-0.046656298600311064,-14999.99999999999,,closed
301396.SZSE,2026-07-28 00:00:00,2026-07-29 00:00:00,171.87,159.95,1800.0,1.0,1.0,-0.06935474486530524,-21456.00000000003,,closed
920305.BSE,2026-07-24 00:00:00,2026-07-30 00:00:00,1.25,0.4,202400.0,6.0,4.0,-0.6799999999999999,-172040.0,,closed
300548.SZSE,2026-07-30 00:00:00,2026-07-31 00:00:00,145.0,142.0,2200.0,1.0,1.0,-0.020689655172413834,-6600.0,,closed
688661.SSE,2026-07-30 00:00:00,2026-07-31 00:00:00,78.04,76.0,4100.0,1.0,1.0,-0.026140440799589992,-8364.000000000025,,closed
688376.SSE,2026-08-03 00:00:00,2026-08-04 00:00:00,62.9,59.8,5300.0,1.0,1.0,-0.049284578696343395,-16430.000000000007,,closed
300260.SZSE,2026-07-31 00:00:00,,48.35,,7400.0,,,,,,open_at_end
688059.SSE,2026-08-03 00:00:00,,72.0,,4500.0,,,,,,open_at_end
